City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jayapura,-2.5333,140.7,32.66,69,24,3.2,ID,1727503487
1,port-aux-francais,-49.35,70.2167,2.11,70,42,13.06,TF,1727503488
2,hamilton,39.1834,-84.5333,20.56,86,100,5.14,US,1727503489
3,porto novo,6.4965,2.6036,24.02,93,88,1.75,BJ,1727503490
4,dzilam gonzalez,21.2833,-88.9333,24.49,88,89,1.13,MX,1727503492
5,nikolayevsk-on-amure,53.1406,140.73,16.88,59,35,2.81,RU,1727503493
6,obo,5.3998,26.4869,22.36,86,93,1.99,CF,1727503494
7,mollendo,-17.0231,-72.0147,15.28,87,44,1.73,PE,1727503495
8,two rivers,44.1539,-87.5693,20.01,78,0,2.57,US,1727503497
9,bilibino,68.0546,166.4372,-2.78,57,50,1.56,RU,1727503498
10,qaqortoq,60.7167,-46.0333,3.09,87,84,0.94,GL,1727503499
11,sault ste. marie,46.5168,-84.3333,14.31,94,0,1.54,CA,1727503500
12,ilulissat,69.2167,-51.1,3.01,100,100,2.57,GL,1727503502
13,waitangi,-43.9535,-176.5597,7.12,82,82,2.68,NZ,1727503503
14,susuman,62.7833,148.1667,7.21,56,76,1.86,RU,1727503504
15,edinburgh of the seven seas,-37.0676,-12.3116,9.81,67,84,5.42,SH,1727503505
16,santarem,-2.4431,-54.7083,25.07,88,0,0.0,BR,1727503507
17,verkhnevilyuysk,63.4453,120.3167,6.42,47,98,4.46,RU,1727503508
18,borskoye,53.0333,51.7167,17.3,27,51,4.38,RU,1727503509
19,ushuaia,-54.8,-68.3,-1.19,93,100,6.69,AR,1727503510
20,cabo san lucas,22.8909,-109.9124,26.45,74,1,4.47,MX,1727503398
21,san-pedro,4.7485,-6.6363,23.83,94,100,1.85,CI,1727503513
22,yanam,16.7333,82.2167,32.72,60,74,1.68,IN,1727503514
23,adamstown,-25.066,-130.1015,20.63,89,86,3.3,PN,1727503515
24,west island,-12.1568,96.8225,27.99,65,20,5.14,CC,1727503396
25,grytviken,-54.2811,-36.5092,1.24,93,100,5.84,GS,1727503518
26,la ronge,55.1001,-105.2842,8.1,80,7,2.6,CA,1727503519
27,fort mcmurray,56.7268,-111.381,10.04,74,97,5.0,CA,1727503520
28,holualoa,19.6228,-155.9522,24.91,86,75,2.06,US,1727503521
29,lihue,21.9789,-159.3672,25.77,82,75,4.12,US,1727503523
30,arawa,-6.2132,155.5367,26.68,85,100,1.97,PG,1727503524
31,qui nhon,13.7667,109.2333,29.9,69,36,4.81,VN,1727503315
32,albany,42.6001,-73.9662,15.93,80,100,1.27,US,1727503526
33,kodiak,57.79,-152.4072,8.73,76,75,4.12,US,1727503528
34,labrador city,52.9463,-66.9114,6.77,86,0,4.92,CA,1727503529
35,mount pearl,47.5166,-52.7813,11.75,91,100,0.45,CA,1727503530
36,ribeira grande,38.5167,-28.7,23.76,95,95,7.15,PT,1727503531
37,bethel,41.3712,-73.414,18.2,88,100,0.0,US,1727503533
38,port mathurin,-19.6833,63.4167,22.4,78,39,8.97,MU,1727503534
39,chibougamau,49.9168,-74.3659,11.79,94,75,1.54,CA,1727503535
40,olonkinbyen,70.9221,-8.7187,-0.26,83,100,9.96,SJ,1727503536
41,shakhtersk,48.0625,38.5167,17.72,53,7,6.63,UA,1727503538
42,sur,22.5667,59.5289,33.11,46,42,1.11,OM,1727503539
43,chemolgan,43.1897,76.5292,12.81,38,0,3.43,KZ,1727503542
44,eyl,7.9803,49.8164,29.5,57,97,10.15,SO,1727503543
45,mitu,1.1983,-70.1733,21.61,95,100,0.23,CO,1727503544
46,lorengau,-2.0226,147.2712,29.92,66,45,2.98,PG,1727503546
47,hawaiian paradise park,19.5933,-154.9731,23.18,94,100,3.09,US,1727503547
48,tazovsky,67.4667,78.7,7.92,94,100,4.5,RU,1727503548
49,kenai,60.5544,-151.2583,3.03,100,0,0.0,US,1727503550
50,whitehorse,60.7161,-135.0538,5.17,70,100,4.47,CA,1727503551
51,iqaluit,63.7506,-68.5145,3.72,93,69,1.34,CA,1727503381
52,blackmans bay,-43.0167,147.3167,19.18,56,72,0.89,AU,1727503553
53,stanley,54.868,-1.6985,3.77,90,20,2.06,GB,1727503554
54,kingston,17.997,-76.7936,27.53,83,20,4.63,JM,1727503556
55,hermanus,-34.4187,19.2345,14.33,78,44,7.8,ZA,1727503557
56,ancud,-41.8697,-73.8203,9.71,90,100,7.38,CL,1727503559
